int.rate,fico,not.fully.paid
0.1189,737,0
0.1071,707,0
0.1357,682,0
0.1008,712,0
0.1426,667,0
0.0788,727,0
0.1496,667,1
0.1114,722,1
0.1134,682,0
0.1221,707,0
0.1347,677,0
0.1324,662,0
0.0859,767,0
0.0714,747,0
0.0863,727,0
0.1103,702,0
0.1317,672,0
0.0894,797,0
0.1039,712,0
0.1513,667,0
0.08,772,0
0.0863,797,0
0.1355,662,0
0.0788,782,0
0.1229,672,0
0.0901,712,0
0.0743,802,0
0.1375,662,0
0.0743,772,0
0.0743,812,0
0.0807,742,0
0.1028,692,0
0.0743,777,0
0.0807,762,0
0.087,757,0
0.0743,772,0
0.0743,787,0
0.1122,672,0
0.0996,707,0
0.0933,717,0
0.0807,742,0
0.0743,777,0
0.087,752,0
0.1028,677,0
0.1122,702,0
0.0838,797,0
0.0775,762,0
0.0838,772,0
0.0901,722,0
0.0743,792,0
0.0743,782,0
0.1028,712,0
0.1059,762,0
0.0996,712,0
0.1596,627,0
0.1059,747,0
0.1154,662,0
0.1343,682,1
0.1249,682,0
0.0964,712,0
0.1186,682,0
0.0743,772,0
0.1028,682,0
0.1186,667,0
0.0807,752,0
0.1059,687,1
0.0996,702,0
0.0964,712,0
0.1375,707,0
0.0775,752,0
0.0743,812,0
0.0807,757,0
0.0996,722,0
0.1501,677,1
0.0964,772,1
0.128,682,1
0.1122,712,1
0.0743,772,0
0.087,712,0
0.1091,707,0
0.0775,762,0
0.0775,762,0
0.087,742,0
0.0964,722,0
0.087,737,0
0.1217,662,0
0.1533,667,0
0.0775,747,0
0.1533,662,0
0.0964,737,1
0.1154,672,1
0.1122,682,0
0.087,767,0
0.1122,702,0
0.0807,792,0
0.0775,762,0
0.1154,727,0
0.0807,787,0
0.0807,792,0
0.0933,792,0
0.0712,772,0
0.1186,667,0
0.1501,702,1
0.0807,792,0
0.0933,762,0
0.0807,797,0
0.1217,672,1
0.1028,692,0
0.1249,662,0
0.1028,722,0
0.1059,712,0
0.1438,687,0
0.0743,772,0
0.0712,812,0
0.1565,667,0
0.1059,692,0
0.1122,747,0
0.1122,707,0
0.1375,677,1
0.1467,667,0
0.1028,692,0
0.1249,667,1
0.0743,782,0
0.1028,687,1
0.1122,682,0
0.1312,692,0
0.1122,742,0
0.0807,797,0
0.1091,707,0
0.1028,697,0
0.1217,662,1
0.1249,667,0
0.1438,697,0
0.1028,767,0
0.1249,662,1
0.0838,752,0
0.0901,742,0
0.0933,702,0
0.0807,742,0
0.0996,677,0
0.1249,662,1
0.128,682,0
